Model,Category,Part Number
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR100F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR100FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR100J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR100JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR110F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR110FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR110J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR110JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR120F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR120FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR120J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR120JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR130F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR130FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR130J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR130JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR150F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR150FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR150J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR150JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR160F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR160FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR160J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR160JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR180F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR180FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR180J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR180JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR200F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR200FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR200J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR200JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR220F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR220FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR220J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR220JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR240F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR240FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR240J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR240JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR270F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR270FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR270J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR270JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR300F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR300FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR300J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR300JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR330F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR330FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR330J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010NR330JE
